CepsOrigem;CepDestino;QTD;Altura;Comprimento;Largura;Peso;QTD;SKU
"{""origin_zip_code"":""25085340""";73365766;73365766;height:100;length:100;width:100;weight:0.09;quantity:1;"sku_id:""13912920""}]}"
"{""origin_zip_code"":""25085340""";9860080;09860080;height:1;length:1;width:1;weight:0.01;quantity:1;"sku_id:""2792832998""}]}"
"{""origin_zip_code"":""25085340""";41347000;41347000;height:10;length:10;width:10;weight:0.01;quantity:1;"sku_id:""13912956""}]}"
"{""origin_zip_code"":""25085340""";72465400;72465400;height:78;length:180;width:90;weight:3;quantity:1;"sku_id:""48380362""}]}"
"{""origin_zip_code"":""25085340""";55825000;55825000;height:12;length:12;width:12;weight:0.12;quantity:1;"sku_id:""76950453""}]}"
"{""origin_zip_code"":""25085340""";76824220;76824220;height:120;length:34;width:195;weight:1;quantity:1;"sku_id:""45587032""}]}"
"{""origin_zip_code"":""25085340""";13212321;13212321;height:2;length:12;width:12;weight:0.13;quantity:1;"sku_id:""2792847268""}]}"
"{""origin_zip_code"":""25085340""";29164077;29164077;height:46;length:188;width:88;weight:40;quantity:1;"sku_id:""39657034""}]}"
"{""origin_zip_code"":""25085340""";70740554;70740554;height:37;length:188;width:88;weight:10;quantity:1;"sku_id:""106498251""}]}"
"{""origin_zip_code"":""25085340""";95210208;95210208;height:46;length:188;width:88;weight:25;quantity:1;"sku_id:""39029200""}]}"
"{""origin_zip_code"":""25085340""";72420160;72420160;height:78;length:180;width:90;weight:3;quantity:1;"sku_id:""48380362""}]}"
"{""origin_zip_code"":""25085340""";30640060;30640060;height:38;length:188;width:88;weight:30;quantity:1;"sku_id:""2792855882""}]}"
"{""origin_zip_code"":""25085340""";32667606;32667606;height:1;length:2;width:2;weight:3;quantity:1;"sku_id:""429691300""}]}"
"{""origin_zip_code"":""25085340""";44056320;44056320;height:46;length:188;width:88;weight:25;quantity:1;"sku_id:""39029200""}]}"
"{""origin_zip_code"":""25085340""";79033160;79033160;height:40;length:188;width:108;weight:0.12;quantity:1;"sku_id:""67246008""}]}"
"{""origin_zip_code"":""25085340""";85301310;85301310;height:11;length:11;width:11;weight:0.02;quantity:1;"sku_id:""1183578357""}]}"
"{""origin_zip_code"":""25085340""";88930000;88930000;height:37;length:188;width:138;weight:10;quantity:1;"sku_id:""3069528196""}]}"
"{""origin_zip_code"":""25085340""";12903890;12903890;height:11;length:11;width:11;weight:0.03;quantity:1;"sku_id:""2792838783""}]}"
